SchoolName,District,CountyName,Rate_LI,Rate_Sped,chronicabsenteeismrate,predicted,residual,residual_z
Don Pedro High,Big Oak Flat-Groveland Unified,Tuolumne,54.83870967741935,9.67741935483871,0.0,21.52878934543096,-21.52878934543096,-2.639743220061177
Igo-Ono Elementary,"Igo, Ono, Platina Union Elementary",Shasta,86.11111111111111,5.555555555555555,0.0,22.01223489779189,-22.01223489779189,-2.699020687950208
Chemehuevi Valley Elementary,Needles Unified,San Bernardino,82.5,20.0,2.4,25.786514263220997,-23.386514263221,-2.867527359605267
Walton Middle,Compton Unified,Los Angeles,95.83333333333334,33.33333333333333,2.5,34.929901191733876,-32.429901191733876,-3.9763783473640433
Rim Virtual Academy,Rim of the World Unified,San Bernardino,63.74999999999999,16.25,0.0,20.66696319385909,-20.66696319385909,-2.5340707781982963
Burnt Ranch Elementary,Burnt Ranch Elementary,Trinity,75.29411764705883,20.0,0.0,25.381137042671988,-25.381137042671988,-3.1120971714118366
Warner Junior/Senior High,Warner Unified,San Diego,71.42857142857143,27.55102040816326,5.9,31.90470586410107,-26.00470586410107,-3.188555793501439
Warner Elementary,Warner Union Elementary,San Diego,72.64150943396226,22.641509433962263,4.2,25.857551877533517,-21.657551877533518,-2.6555313823986832
Warner Elementary,Warner Union Elementary,San Diego,72.64150943396226,22.641509433962263,4.2,24.770726375699816,-20.570726375699817,-2.5222707422473607
Warner Elementary,Warner Unified,San Diego,72.64150943396226,22.641509433962263,4.2,25.857551877533517,-21.657551877533518,-2.6555313823986832
Warner Elementary,Warner Unified,San Diego,72.64150943396226,22.641509433962263,4.2,24.770726375699816,-20.570726375699817,-2.5222707422473607
Maxwell Sr High,Maxwell Unified,Colusa,76.06837606837607,17.094017094017094,4.2,28.804980678672166,-24.604980678672167,-3.0169290936020787
Pond Elementary,Pond Union Elementary,Kern,96.0,14.857142857142858,2.2,27.67192162848744,-25.47192162848744,-3.1232286842455235
Hollywood Elementary,Los Angeles Unified,Los Angeles,94.28571428571428,35.42857142857142,11.5,34.2181568229697,-22.718156822969704,-2.7855770003364477
Enterprise Middle,Compton Unified,Los Angeles,91.2087912087912,23.07692307692308,4.9,29.98959597035978,-25.08959597035978,-3.0763499885741337
Soto Street Elementary,Los Angeles Unified,Los Angeles,88.17204301075269,47.31182795698925,15.6,37.56649794626544,-21.96649794626544,-2.693412671365484
El Tejon Elementary,El Tejon Union,Kern,84.16289592760181,21.26696832579185,6.8,27.82770305902814,-21.027703059028138,-2.5783027411761807
El Tejon Elementary,El Tejon Unified,Kern,84.16289592760181,21.26696832579185,6.8,27.82770305902814,-21.027703059028138,-2.5783027411761807
Di Giorgio Elementary,Di Giorgio Elementary,Kern,99.56709956709958,7.35930735930736,5.0,25.49912890209921,-20.49912890209921,-2.5134918489023512
Toddy Thomas Middle,Fortuna Elementary,Humboldt,85.40772532188842,26.60944206008584,7.7,30.16001085857969,-22.46001085857969,-2.753924544253063
Washington Elementary,Compton Unified,Los Angeles,89.55223880597015,17.91044776119403,3.9,26.316784246643984,-22.416784246643985,-2.7486243318745296
Bunche Middle,Compton Unified,Los Angeles,95.1048951048951,17.132867132867133,1.5,28.369553879524346,-26.869553879524346,-3.294598759897107
Washington Elementary,Kings Canyon Joint Unified,Fresno,92.01388888888889,9.027777777777777,1.0,23.377330957644237,-22.377330957644237,-2.7437867838603256
Princeton Street Elementary,Delano Union Elementary,Kern,89.6103896103896,10.38961038961039,2.4,23.408422401219475,-21.008422401219477,-2.5759386516348646
Ronald E. McNair Elementary,Compton Unified,Los Angeles,88.8268156424581,18.43575418994413,3.4,26.251818098555376,-22.851818098555377,-2.801965819993271
Terrace Elementary,Delano Union Elementary,Kern,91.46005509641874,10.743801652892564,1.3,23.81026324189496,-22.510263241894958,-2.7600862185590334
Harvest Elementary,Delano Union Elementary,Kern,81.36986301369863,18.356164383561644,2.6,24.67671805901992,-22.076718059019917,-2.70692726295211
Laurel Street Elementary,Compton Unified,Los Angeles,87.79840848806366,13.79310344827586,3.4,24.236074370901306,-20.836074370901308,-2.5548062722324048
Foster Elementary,Compton Unified,Los Angeles,87.1859296482412,16.331658291457288,2.1,25.094983507567342,-22.99498350756734,-2.8195199848709547
De Anza Elementary,Baldwin Park Unified,Los Angeles,94.29928741092635,25.17814726840855,7.5,29.88446595481352,-22.38446595481352,-2.7446616384608595
Whaley Middle,Compton Unified,Los Angeles,94.4055944055944,13.986013986013988,3.7,26.765341544213435,-23.065341544213435,-2.828146905188365
Howard Elementary,Ontario-Montclair,San Bernardino,88.91454965357968,19.168591224018478,4.2,26.43582737152404,-22.235827371524042,-2.7264363826797595
Chase Street Elementary,Los Angeles Unified,Los Angeles,91.74311926605505,26.146788990825687,9.2,29.73126325045792,-20.531263250457922,-2.5174319881665688
Fremont Elementary,Delano Union Elementary,Kern,93.18181818181816,13.18181818181818,3.9,24.99478460505346,-21.094784605053462,-2.5865279160093007
Anderson Elementary,Compton Unified,Los Angeles,92.46119733924613,14.634146341463412,3.0,25.409508699555186,-22.409508699555186,-2.7477322438062344
Rosecrans Elementary,Compton Unified,Los Angeles,94.77124183006536,16.99346405228758,2.8,26.804018186247312,-24.00401818624731,-2.94324233679305
Brooklyn Avenue,Los Angeles Unified,Los Angeles,89.2156862745098,19.607843137254903,3.2,26.550026764420974,-23.350026764420974,-2.863053460677235
Davis Middle,Compton Unified,Los Angeles,91.92307692307692,11.346153846153848,0.2,25.107453668874978,-24.90745366887498,-3.05401668883692
Riverside Virtual,Riverside Unified,Riverside,85.87786259541986,20.41984732824428,7.7,31.97169590057575,-24.27169590057575,-2.976063524284019
Lincoln Elementary,Ontario-Montclair,San Bernardino,90.9433962264151,31.69811320754717,9.0,31.48383004398211,-22.48383004398211,-2.756845123397787
Roosevelt Elementary,Compton Unified,Los Angeles,93.63295880149812,12.172284644194756,3.5,24.45874603529164,-20.95874603529164,-2.5698476054524133
Monte Vista Elementary,Ontario-Montclair,San Bernardino,85.79439252336448,12.710280373831775,2.3,23.044434592316257,-20.744434592316257,-2.5435699003061245
Tibby Elementary,Compton Unified,Los Angeles,91.15523465703971,10.830324909747292,1.7,23.42456182027776,-21.72456182027776,-2.663747777626376
Compton Early College High,Compton Unified,Los Angeles,87.41007194244604,0.1798561151079137,0.9,23.99209546740287,-23.09209546740287,-2.8314273259410694
Shirley Lane Elementary,Fairfax Elementary,Kern,99.51377633711506,12.80388978930308,3.7,25.803084776663027,-22.103084776663028,-2.7101602066637565
Franklin Elementary,Modesto City Elementary,Stanislaus,94.46589446589446,10.81081081081081,3.4,23.865108691567805,-20.465108691567806,-2.5093204754612164
Sanger West High,Sanger Unified,Fresno,66.27260083449235,6.050069541029207,0.0,21.419473412526248,-21.419473412526248,-2.6263394940968503
