SchoolName,District,CountyName,Rate_LI,Rate_Sped,chronicabsenteeismrate,predicted,residual,residual_z
Mountain Oaks High,Chawanakee Unified,Madera,84.61538461538461,15.384615384615383,65.0,29.911130495474247,35.08886950452575,4.3024066002039785
Albion Elementary,Mendocino Unified,Mendocino,30.76923076923077,0.0,30.8,7.307878241753011,23.492121758246988,2.8804763770585713
Big Lagoon Elementary,Big Lagoon Union Elementary,Humboldt,33.33333333333333,13.333333333333334,50.0,14.103125535139908,35.89687446486009,4.4014797799167535
Otter Creek Elementary,Black Oak Mine Unified,El Dorado,46.66666666666666,6.666666666666667,50.0,13.188660436302712,36.81133956369729,4.513606523594999
Whitethorn Elementary,Southern Humboldt Joint Unified,Humboldt,93.75,12.5,55.6,25.20386523861739,30.396134761382612,3.7270089536852877
Shoshone Elementary,Death Valley Unified,Inyo,47.05882352941176,0.0,39.1,10.681146562366996,28.418853437633004,3.484565456990043
Fort Ross Elementary,Fort Ross Elementary,Sonoma,60.0,15.0,65.0,20.272471258188205,44.727528741811795,5.48424664535755
Bogus Elementary,Bogus Elementary,Siskiyou,80.0,10.0,60.9,22.47255350170139,38.42744649829861,4.711764778342058
Willow Grove Elementary,Willow Grove Union Elementary,San Benito,42.85714285714285,4.761904761904762,34.8,12.746970288504322,22.053029711495675,2.7040227264373877
Elk Creek High,Stony Creek Joint Unified,Glenn,76.19047619047619,14.285714285714285,54.2,27.739777950301203,26.4602220496988,3.244408714130946
Seiad Elementary,Seiad Elementary,Siskiyou,63.63636363636363,9.090909090909092,40.9,18.730944572535808,22.16905542746419,2.718249169558103
Blake Elementary,Blake Elementary,Kern,47.82608695652174,0.0,46.2,11.926857890896283,34.273142109103716,4.202386537443669
Weitchpec Elementary,Klamath-Trinity Joint Unified,Humboldt,70.83333333333334,8.333333333333332,84.6,18.84030317403456,65.75969682596543,8.063096863663695
Greeley Hill Elementary,Mariposa County Unified,Mariposa,80.0,28.000000000000004,64.1,28.375277900334034,35.72472209966596,4.380371391909086
Palisade Glacier High (Continuation),Bishop Union Elementary,Inyo,68.0,28.000000000000004,90.0,31.36905571304833,58.630944286951674,7.189007945777135
Bodega Bay Elementary,Shoreline Unified,Marin,88.88888888888889,18.51851851851852,48.1,26.53426140672795,21.56573859327205,2.644273736148724
Corning Independent Study,Corning Union High,Tehama,68.96551724137932,10.344827586206897,60.0,24.713345699257196,35.2866543007428,4.3266578976860615
Big Pine High,Big Pine Unified,Inyo,53.333333333333336,6.666666666666667,50.0,20.04795387271318,29.95204612728682,3.672557217354402
Elk Creek Elementary,Stony Creek Joint Unified,Glenn,73.52941176470588,2.941176470588235,44.7,17.304790900434384,27.39520909956562,3.359051747983416
Junction Elementary,Junction Elementary,Siskiyou,76.47058823529412,2.941176470588235,48.6,17.913853236100795,30.686146763899206,3.7625686502895013
Bitterwater-Tully Elementary,Bitterwater-Tully Elementary,San Benito,31.428571428571427,5.714285714285714,42.9,10.750145524965959,32.14985447503404,3.942040539982149
Whale Gulch Elementary,Leggett Valley Unified,Mendocino,77.77777777777779,8.333333333333332,47.4,20.27836702213581,27.121632977864188,3.3255073298164346
