SchoolCode,SchoolName,DistrictCode,CountyName,District,GSserved,Virtual,SOC,VirtStat,TA,SG_SD,SG_DS,ChronicAbsenteeismCount,chronicabsenteeismrate,Cnty_Sch_Cnt,ENR_decile,ENR_quartile,Rate_Sped,Rate_LI
6030225,Carl Harvey Elementary,66670,Orange,Santa Ana Unified,K-5,N,60,0,281.0,263.0,86.0,41.0,14.7,547,2,1,30.604982206405694,93.59430604982207
6097315,Deer Creek Elementary,66340,Nevada,Nevada City Elementary,K-3,N,60,0,281.0,126.0,48.0,41.0,14.8,17,2,1,17.08185053380783,44.83985765124555
6039804,Juarez Elementary,68338,San Diego,San Diego Unified,K-5,N,60,0,281.0,166.0,47.0,52.0,18.8,569,2,1,16.72597864768683,59.07473309608541
0111997,Huntington Park Elementary,64733,Los Angeles,Los Angeles Unified,K-5,N,60,0,281.0,266.0,57.0,36.0,13.3,1598,2,1,20.284697508896798,94.66192170818505
6022602,Malibu Elementary,64980,Los Angeles,Santa Monica-Malibu Unified,K-5,N,60,0,281.0,66.0,44.0,64.0,23.4,1598,2,1,15.658362989323843,23.487544483985765
6020507,Bandini Elementary,64808,Los Angeles,Montebello Unified,K-5,N,60,0,281.0,238.0,121.0,68.0,25.3,1598,2,1,43.06049822064057,84.69750889679716
6024111,Wasuma Elementary,65185,Madera,Wasuma Union Elementary,No Data,No Data,61,0,282.0,179.0,50.0,54.0,19.5,57,2,1,17.73049645390071,63.47517730496454
6024111,Wasuma Elementary,65185,Madera,Bass Lake Joint Union Elementary,K-8,N,60,0,282.0,179.0,50.0,54.0,19.5,57,2,1,17.73049645390071,63.47517730496454
6043913,Woodrow Wilson Elementary,68916,San Mateo,Jefferson Elementary,K-5,N,60,0,282.0,186.0,35.0,42.0,15.1,143,2,1,12.411347517730496,65.95744680851064
6052229,Park Side Elementary,70938,Sonoma,Sebastopol Union Elementary,K-7,C,60,0,282.0,147.0,35.0,36.0,13.0,103,2,1,12.411347517730496,52.12765957446809
6024681,Brookside Elementary,75002,Marin,Ross Valley Elementary,K-5,N,60,0,282.0,38.0,56.0,16.0,5.7,65,2,1,19.858156028368796,13.47517730496454
6024681,Brookside Elementary,75002,Marin,San Anselmo Elementary,No Data,No Data,60,0,282.0,38.0,56.0,16.0,5.7,65,2,1,19.858156028368796,13.47517730496454
6115018,Twain Harte,72421,Tuolumne,Twain Harte,K-8,N,61,0,283.0,192.0,67.0,68.0,24.2,19,2,1,23.674911660777383,67.84452296819788
0129148,Cove,65367,Marin,Larkspur-Corte Madera,K-5,N,60,0,283.0,40.0,47.0,33.0,11.7,65,2,1,16.607773851590103,14.13427561837456
